title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Perfectly Wrong,Shawn Mendes,spotify:track:1UWbBNuBIB9wYg82aaWRvN,0.447,0.307,2.0,-11.773,0.0,0.0368,0.87,0.0,0.104,0.318,77.724,1UWbBNuBIB9wYg82aaWRvN,212773.0,3.0
Mutual,Shawn Mendes,spotify:track:2d3zTjEWyOzKDPOLjDSRlR,0.917,0.476,11.0,-6.689,0.0,0.154,0.242,0.0,0.133,0.814,115.012,2d3zTjEWyOzKDPOLjDSRlR,148173.0,4.0
Queen,Shawn Mendes,spotify:track:2eKH2typXktOBTgWrOHnni,0.881,0.682,1.0,-7.297,1.0,0.105,0.202,0.0,0.086,0.931,131.024,2eKH2typXktOBTgWrOHnni,204053.0,4.0
When You're Ready,Shawn Mendes,spotify:track:2s6BVlw41U03QdFaMeT5FQ,0.438,0.479,5.0,-8.888,1.0,0.0947,0.777,0.0,0.12,0.662,171.218,2s6BVlw41U03QdFaMeT5FQ,169596.0,4.0
Sweet but Psycho,Ava Max,spotify:track:25sgk305KZfyuqVBQIahim,0.719,0.704,1.0,-4.724,1.0,0.0476,0.0691,0.0,0.166,0.628,133.002,25sgk305KZfyuqVBQIahim,187436.0,4.0
Sorry Not Sorry,Demi Lovato,spotify:track:43RG7aUiRDmfc8q2vQfiFc,0.705,0.623,11.0,-6.921,0.0,0.239,0.0217,0.0,0.281,0.863,144.021,43RG7aUiRDmfc8q2vQfiFc,203760.0,4.0
Tell Me You Love Me,Demi Lovato,spotify:track:5Htb1uFQ1KrkFXlefS8oGj,0.516,0.592,3.0,-5.465,0.0,0.0566,0.0247,0.0,0.181,0.271,82.05,5Htb1uFQ1KrkFXlefS8oGj,236987.0,4.0
Sexy Dirty Love,Demi Lovato,spotify:track:38Ncs9ZEzJzd1ypUjNPsb5,0.607,0.752,11.0,-4.406,0.0,0.264,0.000982,2.56e-05,0.0646,0.847,105.007,38Ncs9ZEzJzd1ypUjNPsb5,213173.0,4.0
You Don't Do It For Me Anymore,Demi Lovato,spotify:track:6zyXWcXGiyl3HHTR5s9bw2,0.511,0.437,8.0,-6.417,1.0,0.0523,0.0936,0.0,0.0765,0.113,127.685,6zyXWcXGiyl3HHTR5s9bw2,197720.0,3.0
Daddy Issues,Demi Lovato,spotify:track:270nmdCrJaFwO9y9sFso9R,0.611,0.778,9.0,-6.691,1.0,0.0864,0.0233,2.48e-06,0.241,0.23,100.081,270nmdCrJaFwO9y9sFso9R,189933.0,4.0
